iter	Passed	Remaining
486	621	654
487	622	653
488	623	651
489	624	649
490	625	648
491	626	646
492	627	645
493	628	643
494	628	641
495	629	639
496	630	638
497	631	636
498	632	634
499	632	632
500	633	631
501	634	629
502	635	628
503	637	627
504	638	625
505	639	624
506	640	622
507	641	621
508	642	619
509	643	618
510	644	616
511	645	614
512	646	613
513	647	612
514	648	610
515	650	609
516	651	608
517	652	606
518	653	605
519	654	603
520	654	602
521	655	600
522	656	598
523	658	598
524	659	596
525	660	595
526	661	593
527	662	592
528	663	590
529	664	589
530	665	587
531	666	585
532	666	584
533	667	582
534	668	581
535	669	579
536	670	578
537	671	576
538	672	575
539	673	573
540	674	572
541	675	570
542	675	568
543	676	567
544	677	565
545	679	565
546	681	563
547	681	562
548	682	560
549	683	559
550	684	557
551	685	556
552	686	554
553	687	553
554	687	551
555	688	549
556	689	548
557	690	546
558	691	545
559	692	543
560	693	542
561	694	541
562	694	539
563	695	538
564	696	536
565	697	535
566	698	533
567	699	532
568	700	530
569	701	529
570	702	528
571	703	526
572	704	525
573	705	523
574	706	522
575	707	520
576	708	519
577	708	517
578	709	516
579	710	514
580	711	513
581	712	511
582	713	510
583	714	508
584	715	507
585	715	505
586	716	504
587	717	502
588	718	501
589	719	499
590	719	498
591	720	496
592	721	495
593	722	493
594	723	492
595	724	491
596	725	489
597	726	488
598	727	486
599	728	485
600	728	483
601	729	482
602	730	480
603	731	479
604	731	477
605	733	476
606	734	475
607	735	473
608	735	472
609	736	471
610	737	469
611	738	468
612	739	466
613	739	465
614	740	463
615	741	462
616	741	460
617	742	459
618	743	457
619	744	456
620	745	454
621	746	453
622	747	452
623	748	450
624	748	449
625	749	447
626	750	446
627	751	445
628	752	443
629	752	442
630	753	440
631	754	439
632	754	437
633	755	436
634	756	435
635	757	433
636	758	432
637	759	430
638	759	429
639	760	427
640	761	426
641	762	424
642	762	423
643	763	422
644	764	420
645	765	419
646	765	417
647	766	416
648	767	415
649	768	413
650	769	412
651	770	411
652	770	409
653	771	408
654	772	406
655	773	405
656	773	403
657	774	402
658	775	401
659	775	399
660	776	398
661	777	396
662	778	395
663	779	394
664	780	393
665	781	391
666	782	390
667	782	389
668	783	387
669	784	386
670	784	384
671	785	383
672	786	382
673	786	380
674	787	379
675	788	377
676	789	376
677	790	375
678	791	374
679	792	372
680	793	371
681	793	370
682	794	368
683	795	367
684	796	366
685	796	364
686	797	363
687	798	362
688	799	360
689	799	359
690	800	358
691	801	356
692	802	355
693	803	354
694	804	353
695	805	351
696	806	350
697	806	349
698	807	347
699	808	346
700	808	345
701	809	343
702	810	342
703	811	341
704	812	339
705	812	338
706	813	337
707	814	335
708	814	334
709	815	333
710	816	331
711	817	330
712	819	329
713	820	328
714	821	327
715	822	326
716	823	325
717	824	323
718	825	322
719	826	321
720	827	320
721	827	318
722	829	317
723	830	316
724	831	315
725	832	314
726	833	313
727	834	311
728	835	310
729	836	309
730	837	308
731	838	307
732	839	305
733	840	304
734	841	303
735	842	302
736	843	301
737	844	299
738	845	298
739	846	297
740	847	296
741	847	294
742	848	293
743	849	292
744	850	291
745	851	289
746	852	288
747	853	287
748	854	286
749	855	285
750	856	283
751	857	282
752	857	281
753	858	280
754	859	278
755	860	277
756	861	276
757	862	275
758	863	274
759	864	272
760	865	271
761	865	270
762	866	269
763	867	268
764	868	266
765	869	265
766	870	264
767	871	263
768	871	261
769	873	260
770	873	259
771	874	258
772	875	257
773	876	255
774	877	254
775	878	253
776	879	252
777	880	251
778	881	249
779	881	248
780	883	247
781	883	246
782	884	245
783	885	244
784	886	242
785	887	241
786	888	240
787	889	239
788	890	238
789	891	236
790	892	235
791	893	234
792	894	233
793	895	232
794	896	231
795	896	229
796	897	228
797	898	227
798	899	226
799	900	225
800	901	223
801	902	222
802	903	221
803	905	220
804	906	219
805	907	218
806	907	217
807	909	216
808	910	214
809	910	213
810	911	212
811	912	211
812	913	210
813	915	209
814	915	207
815	916	206
816	917	205
817	918	204
818	919	203
819	920	202
820	921	200
821	921	199
822	922	198
823	923	197
824	924	196
825	925	195
826	926	193
827	927	192
828	928	191
829	929	190
830	930	189
831	930	187
832	931	186
833	932	185
834	933	184
835	934	183
836	935	182
837	936	181
838	937	179
839	938	178
840	939	177
841	940	176
842	941	175
843	941	174
844	942	172
845	943	171
846	944	170
847	945	169
848	946	168
849	947	167
850	948	166
851	948	164
852	949	163
853	950	162
854	951	161
855	952	160
856	953	159
857	954	157
858	955	156
859	956	155
860	957	154
861	957	153
862	958	152
863	959	151
864	960	149
865	961	148
866	962	147
867	963	146
868	965	145
869	966	144
870	967	143
871	968	142
872	969	140
873	969	139
874	970	138
875	971	137
876	972	136
877	973	135
878	974	134
879	975	133
880	976	131
881	978	130
882	979	129
883	980	128
884	981	127
885	982	126
886	983	125
887	983	124
888	984	122
889	985	121
890	986	120
891	987	119
892	988	118
893	989	117
894	990	116
895	991	115
896	992	113
897	993	112
898	994	111
899	994	110
900	995	109
901	996	108
902	997	107
903	997	105
904	998	104
905	999	103
906	1000	102
907	1001	101
908	1001	100
909	1002	99
910	1003	98
911	1004	96
912	1005	95
913	1005	94
914	1006	93
915	1007	92
916	1007	91
917	1008	90
918	1009	88
919	1009	87
920	1010	86
921	1011	85
922	1013	84
923	1013	83
924	1014	82
925	1015	81
926	1016	80
927	1017	78
928	1017	77
929	1018	76
930	1019	75
931	1020	74
932	1020	73
933	1021	72
934	1022	71
935	1023	69
936	1024	68
937	1025	67
938	1025	66
939	1026	65
940	1027	64
941	1028	63
942	1028	62
943	1029	61
944	1030	59
945	1031	58
946	1032	57
947	1032	56
948	1033	55
949	1034	54
950	1035	53
951	1036	52
952	1036	51
953	1037	50
954	1038	48
955	1038	47
956	1039	46
957	1040	45
958	1040	44
959	1041	43
960	1042	42
961	1043	41
962	1044	40
963	1044	39
964	1045	37
965	1046	36
966	1047	35
967	1048	34
968	1049	33
969	1050	32
970	1050	31
971	1051	30
972	1052	29
973	1052	28
974	1053	27
975	1054	25
976	1055	24
977	1055	23
978	1056	22
979	1057	21
980	1059	20
981	1060	19
982	1060	18
983	1061	17
984	1062	16
985	1062	15
986	1063	14
987	1064	12
988	1065	11
989	1065	10
990	1066	9
991	1067	8
992	1067	7
993	1068	6
994	1069	5
995	1070	4
996	1071	3
997	1072	2
998	1072	1
999	1073	0
